Time in s;Measured coffee temp. in °C;Measured wall temp. in °C
0;26.7;26.8
3.12500004;27.1;27.1
6.25000002;96.6;28.5
9.375;94.4;36.3
12.50000004;88.9;45.8
15.62500002;85.9;53
18.75;87.1;58.4
21.87500004;84.5;62.9
25.00000002;85.5;65.5
28.125;85.3;68.5
31.25000004;83.4;70.9
34.37500002;84.9;72.7
37.5;86.5;74.1
40.62500004;82.7;75.5
43.75000002;84.2;76.5
46.875;84.3;77.6
50.00000004;85.1;78.4
53.12500002;82.8;79.1
56.25;83.4;79.6
59.37500004;82.1;79.9
62.50000002;84;80.4
65.625;82.2;80.7
68.75000002;81.6;80.9
71.87500002;81.7;81.1
75.00000002;80.9;81.4
78.12500002;81.7;81.6
81.25000002;79.2;81.6
84.37500002;79.7;81.7
87.50000002;79.5;81.6
90.62500002;80.5;81.8
93.75000002;83;81.8
96.87500002;81.4;81.9
100;79.1;81.8
103.125;82.7;81.9
106.25;80;81.9
109.375;78.5;81.9
112.5;78.6;81.9
115.625;78.8;81.6
118.75;79;81.4
121.875;79.8;81.4
125;78.5;81.5
128.125;77.5;81.4
131.25;78.4;81.3
134.375;78.2;81.2
137.5;78;81.1
140.625;79;81
143.75;79.5;81
146.875;76.7;81
150;78.6;80.9
153.125;77.6;80.8
156.25;80.4;80.7
159.375;78.3;80.6
162.5;79.3;80.5
165.625;77.6;80.3
168.75;78;80.3
171.875;78.9;80.2
175;75.8;80.2
178.125;76.3;80
181.25;77.8;80
184.375;76.3;79.9
187.5;77.5;79.6
190.625;75.4;79.6
193.75;75.3;79.5
196.875;76.4;79.5
200;74.5;79.3
203.125;76.1;79.2
206.25;76.7;79.1
209.375;76.9;78.9
212.5;75.4;78.7
215.625;76;78.6
218.75;75.5;78.7
221.875;75.5;78.6
225;75.9;78.5
228.125;77.3;78.4
231.25;78.3;78.4
234.375;77.3;78.4
237.5;76;78.3
240.625;77.1;78.2
243.75;77.3;78.2
246.875;76.8;78.1
250;75;78
253.125;74.4;77.9
256.25;73.4;77.8
259.375;76.2;77.6
262.5;75.1;77.4
265.625;75.1;77.2
268.75;75.9;77.2
271.875;75.4;77.3
275;75.2;77.3
278.125;74.7;77.3
281.25;75.9;77.2
284.375;75.2;77.1
287.5;73.4;77
290.625;75.2;77
293.75;75.7;76.8
296.875;75.4;76.7
300;75.5;76.7
303.125;74.4;76.6
306.25;72.7;76.5
309.375;73.4;76.4
312.5;72.5;76.2
315.625;73.8;76.2
318.75;70.7;75.9
321.875;73.4;75.9
325;76.1;75.7
328.125;72.6;75.6
331.25;71.1;75.6
334.375;73;75.5
337.5;71.4;75.4
340.625;72.8;75.4
343.75;73;75.3
346.875;72.8;75.3
350;72.9;75.2
353.125;71.8;75.1
356.25;72.9;75
359.375;74.2;75
362.5;72.3;74.9
365.625;73.1;74.9
368.75;73.2;74.8
371.875;74.2;74.7
375;74.4;74.6
378.125;72.5;74.5
381.25;72.2;74.5
384.375;73.1;74.3
387.5;74.1;74.3
390.625;72.7;74.3
393.75;71.5;74.1
396.875;73;74
400;73.8;74
403.125;72.9;74
406.25;72.1;73.9
409.375;70;73.6
412.5;72.4;73.6
415.625;73.9;73.6
418.75;72.1;73.5
421.875;74.5;73.5
425;74;73.5
428.125;73.9;73.5
431.25;73.9;73.5
434.375;74.1;73.4
437.5;72.9;73.3
440.625;73.1;73.3
443.75;73;73.3
446.875;73.1;73.2
450;72.5;73.1
453.125;70.8;73.1
456.25;72;73
459.375;71.8;72.9
462.5;69.6;72.6
465.625;68.8;72.5
468.75;69.9;72.2
471.875;71.8;72.3
475;71.4;72.2
478.125;70.6;72.1
481.25;70.4;72.1
484.375;71;72
487.5;71.8;72.1
490.625;71.2;72
493.75;71;72
496.875;71.4;72
500;69.4;71.9
503.125;69.5;71.8
506.25;67.7;71.7
509.375;69.8;71.5
512.5;70.1;71.4
515.625;69.7;71.4
518.75;70;71.3
521.875;68.5;71.3
525;68.3;71.3
528.125;69.5;71.3
531.25;68.1;71.2
534.375;68.2;71.1
537.5;67.4;71.1
540.625;68;71
543.75;68.4;70.8
546.875;68.2;70.7
550;67;70.7
553.125;67.9;70.6
556.25;68.4;70.5
559.375;69.4;70.5
562.5;68.6;70.4
565.625;67.3;70.4
568.75;67.6;70.2
571.8749998;69.9;70.2
575.0000002;69.4;70.1
578.125;69.2;70.1
581.2499998;67.7;69.9
584.3750002;67.4;69.9
587.5;68;69.8
590.6249998;69.8;69.8
593.7500002;69.3;69.8
596.875;67.5;69.7
599.9999998;67.8;69.6
603.1250002;68.6;69.5
606.25;68;69.4
609.3749998;67.9;69.3
612.5000002;67.5;69.4
615.625;67;69.3
618.7499998;67.1;69.2
621.8750002;66.7;69.2
625;69.4;69.1
628.1249998;69.4;69.1
631.2500002;68.9;69
634.375;68.3;69
637.4999998;67.5;68.8
640.6250002;67.4;68.8
643.75;67.4;68.7
